INDEX,RFR,SVR,MLP,GRU,LSTM
0,4.72320183,12.32038657,28.54592896,3.11201096,10.31861877
1,5.512465417,1.357518736,15.50530243,12.73778629,1.33529091
2,40.46095,36.81127779,8.53832062,21.73885544,29.06596191
3,32.74761455,36.63957675,5.85277924,25.15105042,18.46699127
4,23.5931636,19.27366848,20.01818451,47.36968788,29.00204643
5,16.5515072,24.38397825,25.30589279,5.69819275,5.9361113
6,14.77033628,24.83894982,12.30116257,0.8771669,5.68147263
7,10.95593307,18.93620977,8.50606308,13.97106705,12.2245079
8,14.66384361,24.07665229,26.65184578,10.0799826,9.49790558
9,34.14035075,19.82626545,30.59997559,36.06134796,31.54552078
10,12.32815726,5.566951177,25.24564743,2.4575386,10.09794235
11,21.88792083,24.48746777,12.27729019,19.63511261,11.70119461
12,12.79396886,21.27297706,17.07502197,3.66652512,9.03994202
13,10.95607057,19.17815868,19.22258301,15.70049591,13.67490692
14,0.908086806,4.708813134,9.73184693,2.91540802,3.39178193
15,1.289257959,3.433630968,11.78446579,0.97670746,3.93144226
16,5.821163947,8.24905148,14.62092056,2.43643417,1.65962067
17,23.91614871,21.01796573,38.17432404,23.36219025,20.91235733
18,9.689193015,9.882076573,16.77353119,17.25873016,15.64715027
19,6.707049538,0.404445769,9.83615936,9.53936829,13.86526169
20,26.9861424,31.30721709,13.3311615,15.10684967,8.42934227
21,9.888893785,0.189762004,8.09529877,0.55160332,10.8795166
22,16.85902441,10.92833407,19.03461456,10.35306072,3.19110107
23,13.04263012,12.4704832,27.7262764,1.33958912,2.16334915
24,14.81168095,10.86357155,30.41109772,19.39953642,2.41551514
25,10.11317318,6.563396801,23.68869019,2.37900829,9.027088642
26,4.493605763,0.841716468,19.05108261,9.8942318,4.86256218
27,15.62661132,0.375155856,15.94876862,6.6843996,9.46566963
28,9.67189083,1.077985229,14.00403214,6.45410919,9.1610136
29,4.027530268,11.86180579,14.93502655,9.52690086,8.07032738
30,9.987630899,0.13338347,18.6864624,14.28499603,10.52433395
31,14.01444268,0.921023206,19.57983246,9.27683487,31.21567383
32,10.51708081,23.59543545,12.33817673,5.18946838,2.48349762
33,10.51178216,16.42765477,18.37504578,0.75974274,1.46575928
34,6.659132358,12.92005688,14.75147247,4.18022919,3.23591614
35,26.95191482,19.44223911,19.68390656,29.985672,23.55931473
36,4.133277676,0.035073793,10.79015732,5.04361725,8.09983826
37,3.390639781,0.988942517,9.20693207,1.4503479,11.22222137
38,13.01032425,12.8217422,17.84902573,12.97036743,18.23464584
39,23.27262511,20.04633431,23.21945801,14.50777283,20.01881638
40,0.626349658,7.680789379,1.37700272,15.1031189,5.20350647
41,4.823737999,7.996539085,7.72437286,1.55690384,2.29528046
42,3.351311304,3.12288465,3.82343292,15.2942276,11.25196838
43,0.701948432,3.469763656,5.6949234,10.64009857,12.65697479
44,22.96723102,20.53475494,20.13661194,18.44890213,15.87251282
45,11.08411168,0.567430153,6.74930573,3.48562241,9.10118484
46,9.493472001,13.03482759,10.31125259,17.12015533,16.3437767
47,4.939106334,15.00702851,2.92036438,6.20438766,13.34312439
48,8.828433331,19.25476618,12.99430466,15.70727158,0.52687454
49,7.245584107,11.61736877,6.80122757,12.25499344,2.54126358
50,4.932964204,9.462234938,6.9563446,1.22983932,0.92103195
51,2.521128461,7.824560325,6.4201355,3.43119812,3.11229324
52,2.994240712,9.064217812,4.54945755,7.99668121,3.72420883
53,2.937925153,6.642074974,3.19273758,14.23783493,1.51027298
54,9.642568998,6.977553293,12.09018707,12.50961685,1.76588058
55,8.749821507,7.819214354,1.67562103,3.54850006,2.07623672
56,7.103002571,5.666161778,6.26026154,1.78284073,6.06637955
57,7.313564737,3.751828717,14.49563599,3.01122284,5.64828873
58,3.015967693,2.6363879,7.76559448,0.7309761,6.20159912
59,5.422686006,2.69721983,4.04072952,1.39300537,2.79408264
60,1.789040503,3.832302916,1.14371414,3.34728546,0.83488007
61,13.46117437,19.3406754,8.21207993,19.2895755,6.84775345
62,6.244149173,3.463472276,8.23796387,2.73045654,3.31656189
63,3.701739998,3.409650743,14.22856827,0.6164505,4.2330368
64,14.3404566,10.24002868,4.07717133,5.5981102,8.68271255
65,14.78136635,12.12708148,13.18486633,8.89102402,14.79691162
66,17.16835857,15.91155964,3.93723526,20.83345642,22.58764496
67,13.99376788,13.38238426,8.61538315,23.50195694,29.85795593
68,16.84346319,13.64504287,14.17054825,23.17601852,30.19527702
69,2.763141441,3.621889106,6.67825699,16.05869865,19.99529266
70,24.96515227,26.42929631,30.3114357,13.76408768,11.93395233
71,23.15310562,25.94005776,32.35716629,0.12363815,15.62041664
72,18.78454345,20.84165686,33.53162384,17.11115265,21.77639961
73,17.74711513,15.34795766,21.68545151,6.02340317,22.91941833
74,14.17918701,14.31296358,2.76031265,5.18239441,2.59140244
75,30.80193647,32.03582404,18.08783264,21.84500809,25.25355453
76,23.81016617,33.49404809,17.926754,10.90393448,12.06810379
77,25.29307753,34.92263709,22.54420013,5.55339737,11.20981903
78,20.46075484,29.04624936,20.7664566,7.78621674,16.77009583
79,21.60036282,28.37944403,23.29836655,24.35020447,23.21938705
80,19.52768409,23.5199697,19.36343765,31.75695801,32.45724106
81,13.7431326,18.12197687,21.00522232,36.47524261,11.92060089
82,7.544633325,10.56480716,8.72549438,18.32715607,12.99591827
83,8.563715866,9.265912922,16.04534912,17.62871552,25.11717987
84,9.988634273,8.487474953,4.02010269,21.80866928,1.09179993
85,2.399714113,2.044008861,7.18825378,18.39357224,30.93440857
86,10.81869668,2.014387,13.13397446,8.32162704,13.47004929
87,11.38755395,4.38983685,2.09650269,9.14733734,9.54825439
88,10.20918937,24.34909948,28.39592163,16.63824265,13.40354721
89,6.222185343,21.43413671,21.50202942,0.15051079,5.84558868
90,25.2345039,10.7859195,8.3499588,38.05546417,29.11810341
91,27.79399233,14.20343266,2.18730011,18.35251083,22.79930344
92,23.6617389,27.3436794,14.10397644,33.58646317,31.09995766
93,23.73210899,27.84168478,9.15861893,52.06659317,36.8292408
94,25.10403503,20.99589959,6.73381805,28.71549988,17.31834412
95,21.79955111,16.51807903,13.94321747,2.65067749,16.12736053
96,19.141481,22.22945789,11.35886765,39.08161926,24.35439682
97,21.10417118,11.56643708,7.27578659,29.42622108,12.14944763
